,Mkt-RF,RF
19260702,1.6,0.056
19260710,0.36,0.056
19260717,1.01,0.056
19260724,-2.05,0.056
19260731,3.04,0.056
19260807,2.01,0.063
19260814,0.33,0.063
19260821,-1.11,0.063
19260828,0.53,0.063
19260903,1.87,0.057
19260911,-1.27,0.057
19260918,0.16,0.057
19260925,0.62,0.057
19261002,0.48,0.08
19261009,-4.14,0.08
19261016,-1.62,0.08
19261023,1.05,0.08
19261030,0.83,0.08
19261106,1.47,0.077
19261113,0.71,0.077
19261120,-0.56,0.077
19261127,1.03,0.077
19261204,0.9,0.069
19261211,0.81,0.069
19261218,1.38,0.069
19261224,0.25,0.069
19261231,-0.89,0.069
19270108,0.17,0.062
19270115,0.06,0.062
19270122,-0.04,0.062
19270129,-0.83,0.062
19270205,1.66,0.064
19270211,0.39,0.064
19270219,1.15,0.064
19270226,0.96,0.064
19270305,-0.68,0.074
19270312,0.83,0.074
19270319,0.05,0.074
19270326,0.47,0.074
19270402,-0.17,0.064
19270409,1.83,0.064
19270416,0.36,0.064
19270423,0.47,0.064
19270430,-2.01,0.064
19270507,2.69,0.075
19270514,0.4,0.075
19270521,1.1,0.075
19270528,0.84,0.075
19270604,0.19,0.065
19270611,0.03,0.065
19270618,0.01,0.065
19270625,-1.38,0.065
19270702,0.17,0.075
19270709,1.17,0.075
19270716,1.84,0.075
19270723,0.96,0.075
19270730,1.82,0.075
19270806,0.73,0.069
19270813,-1.62,0.069
19270820,2.73,0.069
19270827,0.73,0.069
19270903,1.34,0.052
19270910,1.16,0.052
19270917,1.27,0.052
19270924,0.08,0.052
19271001,0.82,0.063
19271008,-1.25,0.063
19271015,0.22,0.063
19271022,-4.13,0.063
19271029,-0.37,0.063
19271105,3.44,0.052
19271112,1.33,0.052
19271119,1.62,0.052
19271126,0.36,0.052
19271203,0.49,0.056
19271210,-0.63,0.056
19271217,1.82,0.056
19271224,0.53,0.056
19271231,0.33,0.056
19280107,0.28,0.063
19280114,-1.16,0.063
19280121,0.31,0.063
19280128,0.12,0.063
19280204,-1.02,0.082
19280211,0.36,0.082
19280218,-3.09,0.082
19280225,1.57,0.082
19280303,1.25,0.073
19280310,2,0.073
19280317,2.09,0.073
19280324,1.87,0.073
19280331,1.74,0.073
19280405,0.77,0.056
19280414,1.74,0.056
19280420,-0.91,0.056
19280428,2.55,0.056
19280504,1.96,0.081
19280511,0.76,0.081
19280518,-1.34,0.081
19280525,-0.17,0.081
19280602,1.28,0.078
19280609,-5.57,0.078
19280616,-1.93,0.078
19280623,-1.81,0.078
19280630,3.57,0.078
19280707,1.26,0.081
19280714,-2.57,0.081
19280721,-0.19,0.081
19280728,2.37,0.081
19280804,-0.01,0.08
19280811,-0.73,0.08
19280818,2.03,0.08
19280825,3.03,0.08
19280901,2.23,0.067
19280908,0.76,0.067
19280915,1.22,0.067
19280922,0.37,0.067
19280929,0.22,0.067
19281006,-0.92,0.102
19281013,1.56,0.102
19281020,1.28,0.102
19281027,0.2,0.102
19281103,0.35,0.096
19281110,3.6,0.096
19281117,2.8,0.096
19281123,1.38,0.096
19281201,1.69,0.015
19281208,-8.67,0.015
19281215,2.65,0.015
19281222,3.5,0.015
19281229,2.78,0.015
19290105,2,0.086
19290112,-0.4,0.086
19290119,1.1,0.086
19290126,1.98,0.086
19290202,1.74,0.089
19290208,-4.9,0.089
19290216,-1.4,0.089
19290221,2.91,0.089
19290302,3.51,0.086
19290309,-1.83,0.086
19290316,2.81,0.086
19290323,-2.93,0.086
19290328,0.46,0.086
19290406,-1.63,0.089
19290413,0.27,0.089
19290420,1.02,0.089
19290427,0.89,0.089
19290504,2.42,0.11
19290511,-0.84,0.11
19290518,-1.19,0.11
19290525,-4.39,0.11
19290601,-0.91,0.13
19290608,1.82,0.13
19290615,1.73,0.13
19290622,2.15,0.13
19290629,2.99,0.13
19290706,2.44,0.084
19290713,1.42,0.084
19290720,0.64,0.084
19290727,-0.92,0.084
19290803,3.07,0.101
19290810,-3.28,0.101
19290817,4.72,0.101
19290824,2.46,0.101
19290830,1.76,0.101
19290907,0.24,0.088
19290914,-1.66,0.088
19290921,-0.11,0.088
19290928,-3.15,0.088
19291005,-1.88,0.114
19291011,2.77,0.114
19291019,-8.13,0.114
19291026,-7.7,0.114
19291031,-7.16,0.114
19291108,-11.74,0.094
19291115,-3.99,0.094
19291122,5.63,0.094
19291127,-2.45,0.094
19291207,7.51,0.091
19291214,-3.02,0.091
19291221,-6.32,0.091
19291228,0.14,0.091
19300104,3.85,0.035
19300111,-0.27,0.035
19300118,-0.48,0.035
19300125,3.35,0.035
19300201,3.22,0.074
19300208,0.94,0.074
19300215,-0.1,0.074
19300221,-0.72,0.074
19300301,2.14,0.087
19300308,0.69,0.087
19300315,-0.95,0.087
19300322,2.79,0.087
19300329,3.54,0.087
19300405,1.91,0.053
19300412,0.3,0.053
19300417,-0.51,0.053
19300426,-1.68,0.053
19300503,-9.09,0.064
19300510,4.65,0.064
19300517,0.86,0.064
19300524,-0.35,0.064
19300529,1.01,0.064
19300607,-5.29,0.067
19300614,-5.55,0.067
19300621,-9,0.067
19300628,0.41,0.067
19300703,1.69,0.05
19300712,2.76,0.05
19300719,3.57,0.05
19300726,0.64,0.05
19300802,-2.21,0.022
19300809,-4.82,0.022
19300816,1.97,0.022
19300823,0.96,0.022
19300829,2.2,0.022
19300906,1,0.055
19300913,-0.61,0.055
19300920,-3.23,0.055
19300927,-7.06,0.055
19301004,-0.48,0.022
19301011,-8,0.022
19301018,-3.54,0.022
19301025,3.14,0.022
19301101,-3.07,0.033
19301108,-6.69,0.033
19301115,6.59,0.033
19301122,-0.09,0.033
19301129,-2.57,0.033
19301206,-1.9,0.035
19301213,-7.62,0.035
19301220,2.61,0.035
19301227,-4.11,0.035
19310103,8.96,0.036
19310110,1.29,0.036
19310117,-3.39,0.036
19310124,4.12,0.036
19310131,-0.99,0.036
19310207,2.21,0.01
19310214,4.1,0.01
19310221,4.38,0.01
19310228,-0.12,0.01
19310307,-1.75,0.032
19310314,-0.6,0.032
19310321,1.85,0.032
19310328,-4.99,0.032
19310404,-1.16,0.019
19310411,-1.09,0.019
19310418,-3.54,0.019
19310425,-5.79,0.019
19310502,-1.1,0.022
19310509,2.42,0.022
19310516,-5.1,0.022
19310523,-3.83,0.022
19310529,-5.85,0.022
19310606,1.05,0.019
19310613,4.48,0.019
19310620,1.64,0.019
19310627,10.53,0.019
19310703,-1.33,0.015
19310711,-5.16,0.015
19310718,-0.83,0.015
19310725,-2.11,0.015
19310801,-0.52,0.009
19310808,-1.83,0.009
19310815,5.71,0.009
19310822,-4.1,0.009
19310829,1.6,0.009
19310904,-5.33,0.006
19310912,-6.21,0.006
19310919,-10.93,0.006
19310926,-2.85,0.006
19311003,-11.99,0.026
19311010,12.71,0.026
19311017,-2.22,0.026
19311024,4.61,0.026
19311031,-3.18,0.026
19311107,7.57,0.042
19311114,-6.3,0.042
19311121,-6.91,0.042
19311128,-6.26,0.042
19311205,1.74,0.031
19311212,-11.2,0.031
19311219,1.71,0.031
19311224,-4.7,0.031
19320102,-1.56,0.058
19320109,7.21,0.058
19320116,4.09,0.058
19320123,-5.62,0.058
19320130,-3.13,0.058
19320206,-2.34,0.057
19320213,13.39,0.057
19320220,-2.36,0.057
19320227,-2.24,0.057
19320305,6.61,0.041
19320312,-3.45,0.041
19320319,-6.7,0.041
19320326,-4.38,0.041
19320402,-5.98,0.029
19320409,-9.57,0.029
19320416,-0.06,0.029
19320423,-4.31,0.029
19320430,-2.79,0.029
19320507,2.53,0.015
19320514,-7.45,0.015
19320521,-0.08,0.015
19320528,-10.11,0.015
19320604,6.34,0.005
19320611,-5.31,0.005
19320618,0.03,0.005
19320625,-4.72,0.005
19320701,-0.93,0.006
19320709,-2.41,0.006
19320716,9.76,0.006
19320723,5.5,0.006
19320730,15.38,0.006
19320806,17.04,0.008
19320813,-1.96,0.008
19320820,7.75,0.008
19320827,13.46,0.008
19320903,5.27,0.008
19320910,-3.19,0.008
19320917,-12.82,0.008
19320924,12.5,0.008
19321001,-4.12,0.004
19321008,-15.62,0.004
19321015,5.62,0.004
19321022,-4.89,0.004
19321029,2.4,0.004
19321105,-1.79,0.005
19321112,10.03,0.005
19321119,-5.24,0.005
19321126,-5.58,0.005
19321203,-4.5,0.003
19321210,7.58,0.003
19321217,-0.33,0.003
19321224,-4.95,0.003
19321231,3.62,0.003
19330106,4.75,0.003
19330114,-0.11,0.003
19330121,-1.59,0.003
19330128,-1.4,0.003
19330204,-5.82,-0.007
19330211,3.44,-0.007
19330218,-5.64,-0.007
19330225,-8.94,-0.007
19330303,3.64,0.011
19330318,13.08,0.011
19330325,-6.17,0.011
19330401,-4.94,0.024
19330408,5.49,0.024
19330415,5.87,0.024
19330422,15.55,0.024
19330429,7.08,0.024
19330506,2.53,0.011
19330513,5.5,0.011
19330520,-0.3,0.011
19330527,11.9,0.011
19330603,3.31,0.006
19330610,5.63,0.006
19330617,-5.11,0.006
19330624,6.45,0.006
19330701,5.64,0.005
19330708,6.01,0.005
19330715,0.15,0.005
19330722,-18.85,0.005
19330728,7.6,0.005
19330804,-2.59,0.006
19330811,4.88,0.006
19330818,-0.03,0.006
19330825,6.4,0.006
19330901,-0.53,0.004
19330909,-4.43,0.004
19330916,4.11,0.004
19330923,-6.24,0.004
19330930,-5.45,0.004
19331007,2.88,0.002
19331014,-2.75,0.002
19331021,-12.45,0.002
19331028,9.57,0.002
19331104,1,0.005
19331111,3.16,0.005
19331118,1.66,0.005
19331125,0.73,0.005
19331202,-1.15,0.005
19331209,3.81,0.005
19331216,-3.86,0.005
19331223,-1.09,0.005
19331230,2.73,0.005
19340106,-2.82,0.012
19340113,3.53,0.012
19340120,8.93,0.012
19340127,0.9,0.012
19340203,5.45,0.006
19340210,-3.78,0.006
19340217,4.2,0.006
19340224,-4.8,0.006
19340303,1.37,0.005
19340310,-2.49,0.005
19340317,-0.23,0.005
19340324,-0.03,0.005
19340331,0.25,0.005
19340407,1.96,0.002
19340414,0.41,0.002
19340421,1.94,0.002
19340428,-3.61,0.002
19340505,-5.54,0.002
19340512,-7.09,0.002
19340519,4.92,0.002
19340526,-0.56,0.002
19340602,-3.54,0.002
19340609,8.7,0.002
19340616,1.63,0.002
19340623,-4.64,0.002
19340630,-0.14,0.002
19340707,0.84,0.002
19340714,0.59,0.002
19340721,-5,0.002
19340728,-7.26,0.002
19340804,0.26,0.002
19340811,2.22,0.002
19340818,1.17,0.002
19340825,5.4,0.002
19340901,-3.66,0.001
19340908,-1.95,0.001
19340915,-4.25,0.001
19340922,4.87,0.001
19340929,1.34,0.001
19341006,-0.87,0.003
19341013,1.38,0.003
19341020,-0.27,0.003
19341027,-2.21,0.003
19341103,1.9,0.002
19341110,4.04,0.002
19341117,-1.38,0.002
19341124,2.9,0.002
19341201,1.01,0.003
19341208,-0.41,0.003
19341215,-2.23,0.003
19341222,-1.26,0.003
19341229,3.87,0.003
19350105,1.65,0.003
19350112,-3.89,0.003
19350119,1.05,0.003
19350126,-0.68,0.003
19350202,-0.95,0.004
19350209,0.07,0.004
19350216,0.23,0.004
19350223,-1.27,0.004
19350302,-0.26,0.003
19350309,-3.39,0.003
19350316,-2.98,0.003
19350323,2.4,0.003
19350330,-0.3,0.003
19350406,3.58,0.003
19350413,2.71,0.003
19350420,2.92,0.003
19350427,0.15,0.003
19350504,1.49,0.003
19350511,3.15,0.003
19350518,0.94,0.003
19350525,1.03,0.003
19350601,-4.4,0.003
19350608,4.71,0.003
19350615,2.86,0.003
19350622,1.65,0.003
19350629,-2.5,0.003
19350706,2.2,0.003
19350713,1.05,0.003
19350720,0.16,0.003
19350727,2.51,0.003
19350803,1.84,0.003
19350810,3.16,0.003
19350817,1.56,0.003
19350824,-2.44,0.003
19350831,-0.05,0.003
19350907,3.24,0.003
19350914,0.27,0.003
19350921,-3.24,0.003
19350928,2.29,0.003
19351005,-1.19,0.003
19351011,2.56,0.003
19351019,2.32,0.003
19351026,3.94,0.003
19351102,0.52,0.006
19351109,2.21,0.006
19351116,2.88,0.006
19351123,0.95,0.006
19351130,-2.27,0.006
19351207,2.71,0.003
19351214,-2.17,0.003
19351221,0.32,0.003
19351228,0.62,0.003
19360104,4.06,0.003
19360111,1.88,0.003
19360118,-0.3,0.003
19360125,2.08,0.003
19360201,1.95,0.003
19360208,1.51,0.003
19360215,2.18,0.003
19360221,0.5,0.003
19360229,-1.49,0.003
19360307,2.42,0.004
19360314,-2.45,0.004
19360321,1.19,0.004
19360328,-0.66,0.004
19360404,3.34,0.004
19360411,-0.12,0.004
19360418,-2.9,0.004
19360425,-3.08,0.004
19360502,-4.62,0.004
19360509,1.44,0.004
19360516,2.48,0.004
19360523,-0.57,0.004
19360529,1.5,0.004
19360606,-1.3,0.008
19360613,3.12,0.008
19360620,0.88,0.008
19360627,0.19,0.008
19360703,0.35,0.003
19360711,2.74,0.003
19360718,2.24,0.003
19360725,1.18,0.003
19360801,-0.34,0.004
19360808,1.99,0.004
19360815,-1.58,0.004
19360822,-2.21,0.004
19360829,2.67,0.004
19360905,1.33,0.003
19360912,0.06,0.003
19360919,0.48,0.003
19360926,-0.39,0.003
19361003,2.52,0.005
19361010,2.49,0.005
19361017,0.91,0.005
19361024,0.15,0.005
19361031,0.69,0.005
19361107,3.21,0.002
19361114,-1.93,0.002
19361121,1.47,0.002
19361128,0.95,0.002
19361205,-1.16,0.001
19361212,0.56,0.001
19361219,-1.85,0.001
19361224,1.25,0.001
19370102,0.22,0.003
19370109,2.6,0.003
19370116,1.73,0.003
19370123,0.28,0.003
19370130,-0.43,0.003
19370206,1.1,0.004
19370213,1.16,0.004
19370220,-0.09,0.004
19370227,-1.06,0.004
19370306,2.9,0.004
19370313,-1.24,0.004
19370320,-2.69,0.004
19370327,-0.25,0.004
19370403,-0.6,0.009
19370410,-2.72,0.009
19370417,0.7,0.009
19370424,-1.79,0.009
19370501,-1.84,0.016
19370508,0.85,0.016
19370515,-3.94,0.016
19370522,3.29,0.016
19370528,-1.08,0.016
19370605,0.59,0.008
19370612,-3.17,0.008
19370619,-0.92,0.008
19370626,-1.21,0.008
19370702,2.27,0.008
19370710,3.61,0.008
19370717,1.22,0.008
19370724,2.81,0.008
19370731,-0.79,0.008
19370807,-0.04,0.006
19370814,1.65,0.006
19370821,-3.57,0.006
19370828,-3.5,0.006
19370904,-1.97,0.009
19370911,-8.3,0.009
19370918,-1,0.009
19370925,-7.19,0.009
19371002,5.36,0.004
19371009,-6.65,0.004
19371016,-7.5,0.004
19371023,-3.68,0.004
19371030,8.92,0.004
19371106,-8.99,0.005
19371113,6.63,0.005
19371120,-8.58,0.005
19371127,3.11,0.005
19371204,2.51,0.001
19371211,-1.6,0.001
19371218,-0.22,0.001
19371224,-0.55,0.001
19371231,-4.2,0.001
19380108,9.17,0.001
19380115,2.53,0.001
19380122,-4.09,0.001
19380129,-7.4,0.001
19380205,1.01,0.001
19380211,2.04,0.001
19380219,2.09,0.001
19380226,3.02,0.001
19380305,-3.05,-0.002
19380312,-4.55,-0.002
19380319,-2.27,-0.002
19380326,-11.41,-0.002
19380402,1.37,0.003
19380409,10.41,0.003
19380416,3.34,0.003
19380423,-2.01,0.003
19380430,-5.27,0.003
19380507,5.91,0
19380514,-0.9,0
19380521,-3.69,0
19380528,-3.78,0
19380604,2.17,0
19380611,1.59,0
19380618,-0.51,0
19380625,16.55,0
19380702,6.16,-0.001
19380709,-1.1,-0.001
19380716,1.66,-0.001
19380723,4.86,-0.001
19380730,-2.38,-0.001
19380806,2.74,0.001
19380813,-6.62,0.001
19380820,3.22,0.001
19380827,0.61,0.001
19380903,-0.37,0.005
19380910,-3.39,0.005
19380917,-6.21,0.005
19380924,1.62,0.005
19381001,9.13,0.003
19381008,4.48,0.003
19381015,1.87,0.003
19381022,1.12,0.003
19381029,-1.72,0.003
19381105,0.52,-0.016
19381112,4.15,-0.016
19381119,-5.13,-0.016
19381126,-1.4,-0.016
19381203,-0.71,0
19381210,-0.32,0
19381217,2.65,0
19381224,0.12,0
19381231,3.08,0
19390107,-1.77,-0.001
19390114,-1.78,-0.001
19390121,-0.89,-0.001
19390128,-5.21,-0.001
19390204,4.78,0.002
19390211,0.03,0.002
19390218,0.97,0.002
19390225,0.97,0.002
19390304,1.87,-0.002
19390311,1.57,-0.002
19390318,-6.97,-0.002
19390325,0.16,-0.002
19390401,-6.66,-0.001
19390408,-8.37,-0.001
19390415,7.48,-0.001
19390422,-0.48,-0.001
19390429,-0.06,-0.001
19390506,2.62,0.002
19390513,0.54,0.002
19390520,-1,0.002
19390527,4.07,0.002
19390603,-0.15,0.003
19390610,2.24,0.003
19390617,-3.23,0.003
19390624,1.32,0.003
19390701,-4.09,0
19390708,1.69,0
19390715,3.52,0
19390722,5.08,0
19390729,-0.86,0
19390805,-1.01,-0.001
19390812,-2.24,-0.001
19390819,-2.73,-0.001
19390826,0.37,-0.001
19390902,0.91,0.002
19390909,11.02,0.002
19390916,1.09,0.002
19390923,1.01,0.002
19390930,0.5,0.002
19391007,-2.41,0.001
19391014,0.45,0.001
19391021,2.63,0.001
19391028,-0.12,0.001
19391104,-0.29,0.001
19391110,-2.13,0.001
19391118,1.58,0.001
19391125,-1.77,0.001
19391202,-1.22,0.001
19391209,0.98,0.001
19391216,0.2,0.001
19391223,0.34,0.001
19391230,0.64,0.001
19400106,1.33,0
19400113,-3.88,0
19400120,0.35,0
19400127,0.55,0
19400203,-0.39,0
19400210,1.92,0
19400217,0.2,0
19400224,-0.9,0
19400302,-0.39,0
19400309,1.4,0
19400316,-1.69,0
19400323,1.16,0
19400330,1.5,0
19400406,2.49,0
19400413,-1.43,0
19400420,-1.08,0
19400427,-0.04,0
19400504,-0.34,-0.004
19400511,-2.11,-0.004
19400518,-16.25,-0.004
19400525,-5.18,-0.004
19400601,0.74,0.001
19400608,0.19,0.001
19400615,6.72,0.001
19400622,0.02,0.001
19400629,0.03,0.001
19400706,0.16,0.003
19400713,-0.27,0.003
19400720,0.37,0.003
19400727,0.2,0.003
19400803,2.68,-0.002
19400810,0.3,-0.002
19400817,-3.43,-0.002
19400824,2.31,-0.002
19400831,3.16,-0.002
19400907,3.11,0
19400914,-3.45,0
19400921,2.66,0
19400928,0.04,0
19401005,1.36,0
19401011,-1.91,0
19401019,1.14,0
