date,PFE,NKE,C,TM,BIIB,AZN
20120103,0.01525,0.004566,0.076777,0.024951,0.031349,0.030892
20120104,-0.009103,0.014565,-0.005648,0.00959,0.001938,-0.005239
20120105,-0.007809,-0.000611,0.01207,0.002777,0.013542,-0.013061
20120106,-0.001389,-0.001732,0.001403,-0.001603,0.002082,0.002561
20120109,0.01159,0.003674,0.018564,-0.001314,-0.005455,-0.008516
20120110,0.0055,0.00122,0.031637,0.003654,0.000087,0.00408
20120111,-0.001823,-0.003351,0.042333,-0.001019,0.007225,0.000855
20120112,0.00411,0.009782,0.010553,-0.006706,0.005099,0.010043
20120113,-0.006821,-0.008073,-0.027215,0.001761,-0.002322,-0.012058
20120117,0.00435,0.009563,-0.082141,-0.009083,0.007498,0.017559
20120118,0.001596,0.016324,0.028885,0.003105,0.002139,0.01431
20120119,-0.005917,0.007139,0.010334,0.018276,-0.003158,-0.014108
20120120,0.002747,0.001772,0.010569,0.033435,0.011646,-0.002736
20120123,-0.008676,-0.001965,0.007085,-0.003501,-0.01549,0.006964
20120124,-0.002303,0.0064,0.001675,0.016585,0.00619,-0.001257
20120125,0.00277,0.009784,0.002007,0.02613,0.011279,0.002098
20120126,-0.004144,-0.008817,0.014019,0.004985,-0.004225,0.002931
20120127,-0.006935,-0.001857,0.016129,-0.013675,0.006025,-0.00501
20120130,0.004656,0.012535,-0.020732,-0.006253,-0.0167,0.004196
20120131,-0.008341,0.005803,0.016209,0.005061,0.011752,0.006059
20120201,0.006075,-0.002308,0.028646,0.023408,0.028063,0.00893
20120202,-0.009385,-0.008964,0.012658,0.013697,0,-0.028201
20120203,0.004263,0.006614,0.048453,0.003148,0.005113,0.006143
20120206,-0.011792,-0.000386,-0.007156,0.016215,0.001723,-0.001895
20120207,0.004773,0.007443,-0.006907,0.02445,-0.004341,0.004008
20120208,-0.0019,0.01631,0.035077,0.018088,-0.016124,0.004412
20120209,0.006187,-0.001605,-0.016652,-0.002098,-0.015217,-0.006693
20120210,-0.004257,-0.003309,-0.021836,-0.030786,0.003057,-0.006949
20120213,0.011876,-0.001803,-0.001367,0.006634,0.015744,0.010178
20120214,0.001408,0.0134,-0.024331,0.013813,-0.0025,-0.00105
20120215,-0.010314,-0.000281,-0.011222,0.032,-0.010109,-0.008825
20120216,0.010422,-0.004128,0.031211,0.013203,0.005739,-0.002875
20120217,-0.006563,0.004898,0.00642,-0.003467,-0.022825,0.001996
20120221,0.001416,-0.016217,0.013366,-0.001679,-0.006698,-0.006861
20120222,0.006598,0.007432,-0.029976,0.013098,0.007262,-0.005126
20120223,-0.015449,0.003878,0.010816,-0.002847,0.001631,0.013665
20120224,0.007133,0.001413,-0.011006,0.005591,-0.002656,0.004199
20120227,0.003777,0.008279,0.017929,-0.011119,0.000086,-0.007042
20120228,-0.001882,0.002426,0.016702,0.01256,0.002405,-0.000886
20120229,-0.004477,0.004561,-0.004779,-0.022918,-0.0018,-0.004215
20120301,0.017278,0.009081,0.02431,0.004353,0.019232,0.007797
20120302,-0.003723,0.001843,-0.000879,-0.018057,0.001516,-0.007737
20120305,0.004204,0.004598,-0.012317,-0.004046,-0.003953,0.010025
20120306,-0.01093,-0.017393,-0.046318,-0.013417,-0.011738,-0.025584
20120307,0.004938,0.002236,0.034869,0.007112,-0.000256,0.010186
20120308,0.003977,0.002975,0.022864,0.022299,0.029231,0.004481
20120309,0.001165,0.019277,0.005882,0.015633,0.001578,0.002677
20120312,0.002793,-0.004819,0.002632,-0.01229,-0.000663,0.006229
20120313,0.02182,0.011969,0.062992,0.014375,0.01369,0.007075
20120314,-0.003635,-0.004153,-0.034019,-0.005121,-0.011868,-0.013392
20120315,-0.000912,0.003898,0.030105,0.021547,0.002651,-0.00445
20120316,0.001369,0.004425,0.01158,0.000703,-0.008344,0.00827
20120319,-0.002735,0.008182,0.013083,-0.001874,-0.000583,0.005985
20120320,-0.003656,-0.003478,0.024482,-0.006804,-0.005751,0.006611
20120321,-0.001376,-0.011634,-0.007353,-0.008268,0.005533,-0.005692
20120322,-0.001837,0.00498,-0.023809,0.005598,0.00642,-0.002642
20120323,0.004142,-0.032165,0.006368,-0.007936,0.002071,-0.002649
20120326,0.015582,0.01052,0.007944,0.007044,0.040013,0.010403
20120327,0.015343,-0.006172,-0.017366,0.024198,0.003418,-0.008324
20120328,-0.004,-0.006025,0.007613,0.012377,-0.004278,-0.013254
20120329,0.000446,0.005782,-0.014841,-0.007382,0.006285,-0.003806
20120330,0.010036,0.005471,0.001096,0.008831,-0.003795,-0.000225
20120402,-0.002429,0.005349,0.008755,-0.001497,0.012936,0.017757
20120403,-0.002213,0.007797,-0.013561,-0.005422,0.009167,-0.004638
