caldt,spret
20010102,-0.028136
20010103,0.050591
20010104,-0.010667
20010105,-0.026591
20010108,-0.001724
20010109,0.004094
20010110,0.009595
20010111,0.010237
20010112,-0.006454
20010116,0.006357
20010117,0.002163
20010118,0.014016
20010119,-0.004101
20010122,0.00025
20010123,0.013191
20010124,0.002976
20010125,-0.005012
20010126,-0.001704
20010129,0.006798
20010130,0.007054
20010131,-0.005587
20010201,0.005626
20010202,-0.017533
20010205,0.003487
20010206,-0.001383
20010207,-0.008184
20010208,-0.006215
20010209,-0.013722
20010212,0.012105
20010213,-0.008527
20010214,-0.001943
20010215,0.008388
20010216,-0.019003
20010220,-0.017329
20010221,-0.018551
20010222,-0.002012
20010223,-0.005536
20010226,0.017562
20010227,-0.007643
20010228,-0.013917
20010301,0.001024
20010302,-0.005929
20010305,0.006105
20010306,0.010168
20010307,0.006646
20010308,0.00223
20010309,-0.025011
20010312,-0.043332
20010313,0.01548
20010314,-0.025915
20010315,0.005693
20010316,-0.019575
20010319,0.01771
20010320,-0.024259
20010321,-0.017817
20010322,-0.003781
20010323,0.019876
20010326,0.011112
20010327,0.025461
20010328,-0.024266
20010329,-0.004697
20010330,0.01081
20010402,-0.012637
20010403,-0.034411
20010404,-0.00285
20010405,0.043928
20010406,-0.020124
20010409,0.00799
20010410,0.027424
20010411,-0.002032
20010412,0.015173
20010416,-0.003394
20010417,0.010463
20010418,0.039393
20010419,0.012893
20010420,-0.008665
20010423,-0.015198
20010424,-0.012301
20010425,0.015993
20010426,0.004864
20010427,0.015063
20010430,-0.002827
20010501,0.01368
20010502,0.000995
20010503,-0.014686
20010504,0.014492
20010507,-0.002508
20010508,-0.001616
20010509,-0.004568
20010510,-0.000072
20010511,-0.007488
20010514,0.002772
20010515,0.000335
20010516,0.028754
20010517,0.002819
20010518,0.002578
20010521,0.016336
20010522,-0.002543
20010523,-0.015468
20010524,0.00325
20010525,-0.011901
20010529,-0.007846
20010530,-0.015481
20010531,0.006323
20010601,0.003923
20010604,0.005017
20010605,0.013073
20010606,-0.010253
20010607,0.005412
20010608,-0.009416
20010611,-0.008444
20010612,0.001065
20010613,-0.011144
20010614,-0.017572
20010615,-0.004627
20010618,-0.004739
20010619,0.003493
20010620,0.008745
20010621,0.011599
20010622,-0.009653
20010625,-0.005569
20010626,-0.001503
20010627,-0.004428
20010628,0.012878
20010629,-0.001906
20010702,0.010264
20010703,-0.00144
20010705,-0.012378
20010706,-0.023329
20010709,0.006969
20010710,-0.014177
20010711,-0.001062
20010712,0.023841
20010713,0.006271
20010716,-0.010901
20010717,0.010105
20010718,-0.00522
20010719,0.005874
20010720,-0.003578
20010723,-0.016416
20010724,-0.016269
20010725,0.015906
20010726,0.010376
20010727,0.00248
20010730,-0.001052
20010731,0.005557
20010801,0.003961
20010802,0.004196
20010803,-0.004968
20010806,-0.011433
20010807,0.003376
20010808,-0.017197
20010809,0.000115
20010810,0.005657
20010813,0.000993
20010814,-0.003823
20010815,-0.007176
20010816,0.003016
20010817,-0.016517
20010820,0.008191
20010821,-0.012215
20010822,0.007032
20010823,-0.002899
20010824,0.019594
20010827,-0.004758
20010828,-0.015032
20010829,-0.01116
20010830,-0.016905
20010831,0.004151
20010904,-0.000577
20010905,-0.000843
20010906,-0.022362
20010907,-0.018559
20010910,0.006272
20010917,-0.048809
20010918,-0.005685
20010919,-0.015842
20010920,-0.030608
20010921,-0.019281
20010924,0.039013
20010925,0.008676
